t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R80,R81,R82
11625,,-0.106992721557617,,-0.0883989334106445,,-0.0883207321166992,-0.100820541381836,-0.0963678359985352,-0.153164863586426,-0.124649047851562,-0.126602172851562,-0.097773551940918,-0.0731639862060547,-0.0655078887939453,-0.111211776733398,-0.127617835998535,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165195465087891,-0.100117683410645,-0.151211738586426,-0.136445999145508
11630,,-0.106992721557617,,-0.0883989334106445,,-0.0883207321166992,-0.100820541381836,-0.0963678359985352,-0.153164863586426,-0.124570846557617,-0.126680374145508,-0.0978517532348633,-0.0730857849121094,-0.0654296875,-0.111211776733398,-0.127617835998535,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165118217468262,-0.100117683410645,-0.151289939880371,-0.136445999145508
11635,,-0.106992721557617,,-0.0883207321166992,,-0.0883207321166992,-0.100820541381836,-0.0963678359985352,-0.153243064880371,-0.124570846557617,-0.126758575439453,-0.0979299545288086,-0.0730857849121094,-0.0654296875,-0.111211776733398,-0.12769603729248,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165118217468262,-0.100117683410645,-0.151289939880371,-0.136445999145508
11640,,-0.106992721557617,,-0.0883207321166992,,-0.0883207321166992,-0.100820541381836,-0.0963678359985352,-0.153243064880371,-0.124570846557617,-0.126758575439453,-0.0980081558227539,-0.0730075836181641,-0.0653514862060547,-0.111211776733398,-0.12769603729248,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165118217468262,-0.100117683410645,-0.151289939880371,-0.136445999145508
11645,,-0.106992721557617,,-0.0882425308227539,,-0.0882425308227539,-0.100820541381836,-0.0963678359985352,-0.153321266174316,-0.124570846557617,-0.126836776733398,-0.0980081558227539,-0.0730075836181641,-0.0652732849121094,-0.111211776733398,-0.127774238586426,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165040016174316,-0.10019588470459,-0.151289939880371,-0.136524200439453
11650,,-0.106992721557617,,-0.0882425308227539,,-0.0882425308227539,-0.100820541381836,-0.0963678359985352,-0.153321266174316,-0.124492645263672,-0.126914978027344,-0.0980863571166992,-0.0729303359985352,-0.0652732849121094,-0.111211776733398,-0.127774238586426,-0.136367797851562,-0.129727363586426,-0.156758308410645,-0.165040016174316,-0.10019588470459,-0.151289939880371,-0.136524200439453
11655,,-0.106992721557617,,-0.0882425308227539,,-0.0882425308227539,-0.100820541381836,-0.0963678359985352,-0.153398513793945,-0.124492645263672,-0.126914978027344,-0.0981645584106445,-0.0728521347045898,-0.0651950836181641,-0.111211776733398,-0.127774238586426,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.165040016174316,-0.10019588470459,-0.151368141174316,-0.136524200439453
11660,,-0.106992721557617,,-0.0881643295288086,,-0.0881643295288086,-0.100898742675781,-0.0963678359985352,-0.153398513793945,-0.124492645263672,-0.126992225646973,-0.0981645584106445,-0.0728521347045898,-0.0651950836181641,-0.111211776733398,-0.127852439880371,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.165040016174316,-0.10019588470459,-0.151368141174316,-0.136524200439453
11665,,-0.106992721557617,,-0.0880861282348633,,-0.0881643295288086,-0.100898742675781,-0.0963678359985352,-0.153476715087891,-0.124492645263672,-0.127070426940918,-0.0982427597045898,-0.0727739334106445,-0.0651178359985352,-0.111211776733398,-0.127852439880371,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.164961814880371,-0.10019588470459,-0.151368141174316,-0.136602401733398
11670,,-0.106992721557617,,-0.0880861282348633,,-0.0881643295288086,-0.100898742675781,-0.0963678359985352,-0.153476715087891,-0.124492645263672,-0.127070426940918,-0.0983209609985352,-0.0726957321166992,-0.0650396347045898,-0.111211776733398,-0.127852439880371,-0.136367797851562,-0.129727363586426,-0.15683650970459,-0.164961814880371,-0.10019588470459,-0.151368141174316,-0.136602401733398
