t_s,R75,R77,R78,R80,R81,R83,R92,R98,R102,R103,R104,R105,R106,R99,R100,R101,R116,R117,R118,R119,R120,R121,R122,R123
840,0.0236330032348633,0.0351171493530273,,,0.0280075073242188,,,,,,,0.0432424545288086,0.0348052978515625,,0.0158205032348633,,,,,0.0407419204711914,0.0182418823242188,,0.0457420349121094,
850,0.0236330032348633,0.0351171493530273,,,0.0280075073242188,,,,,,,0.0431642532348633,0.0348052978515625,,0.0158205032348633,,,,,0.0405864715576172,0.0182418823242188,,0.0457420349121094,
860,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.043086051940918,0.0347270965576172,,0.0158987045288086,,,,,0.0403518676757812,0.0182418823242188,,0.0457420349121094,
870,0.0236330032348633,0.0351171493530273,,,0.0280075073242188,,,,,,,0.0430078506469727,0.0347270965576172,,0.0158987045288086,,,,,0.0401954650878906,0.0182418823242188,,0.0457420349121094,
880,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.042851448059082,0.0346488952636719,,0.0159769058227539,,,,,0.0400390625,0.0183200836181641,,0.0457420349121094,
890,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0427732467651367,0.0346488952636719,,0.0159769058227539,,,,,0.0398044586181641,0.0183200836181641,,0.0457420349121094,
900,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0426950454711914,0.0346488952636719,,0.0159769058227539,,,,,0.0396490097045898,0.0183200836181641,,0.0457420349121094,
910,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0426177978515625,0.0345706939697266,,0.0160551071166992,,,,,0.0394926071166992,0.0183200836181641,,0.0456638336181641,
920,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0424613952636719,0.0345706939697266,,0.0160551071166992,,,,,0.0392580032348633,0.0183200836181641,,0.0456638336181641,
930,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0423831939697266,0.0344924926757812,,0.0160551071166992,,,,,0.0391016006469727,0.0183200836181641,,0.0456638336181641,
940,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0423049926757812,0.0344924926757812,,0.0161333084106445,,,,,0.038945198059082,0.0183200836181641,,0.0456638336181641,
950,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0421485900878906,0.0344142913818359,,0.0161333084106445,,,,,0.0387887954711914,0.0183200836181641,,0.0456638336181641,
960,0.0236330032348633,0.035038948059082,,,0.0280075073242188,,,,,,,0.0420703887939453,0.0344142913818359,,0.0161333084106445,,,,,0.0386333465576172,0.0183200836181641,,0.0455865859985352,
